STAID,SOUID,DATE,DD,Q_DD
   189,114683,20090901,  348,    0
   189,114683,20090902,  347,    0
   189,114683,20090903,  310,    0
   189,114683,20090904,  331,    0
   189,114683,20090905,  330,    0
   189,114683,20090906,   50,    0
   189,114683,20090907,  110,    0
   189,114683,20090908,   78,    0
   189,114683,20090909,  326,    0
   189,114683,20090910,  129,    0
   189,114683,20090911,  198,    0
   189,114683,20090912,  303,    0
   189,114683,20090913,  240,    0
   189,114683,20090914,  149,    0
   189,114683,20090915,  304,    0
   189,114683,20090916,  345,    0
   189,114683,20090917,  115,    0
   189,114683,20090918,  206,    0
   189,114683,20090919,   13,    0
   189,114683,20090920,  292,    0
   189,114683,20090921,  347,    0
   189,114683,20090922,  332,    0
   189,114683,20090923,  254,    0
   189,114683,20090924,  180,    0
   189,114683,20090925,  356,    0
   189,114683,20090926,  210,    0
   189,114683,20090927,  321,    0
   189,114683,20090928,  336,    0
   189,114683,20090929,  241,    0
   189,114683,20090930,    1,    0
   189,114683,20091001,  330,    0
   189,114683,20091002,    4,    0
   189,114683,20091003,    3,    0
   189,114683,20091004,  357,    0
   189,114683,20091005,  348,    0
   189,114683,20091006,  357,    0
   189,114683,20091007,  342,    0
   189,114683,20091008,  336,    0
   189,114683,20091009,  355,    0
   189,114683,20091010,  337,    0
   189,114683,20091011,  338,    0
   189,114683,20091012,  236,    0
   189,114683,20091013,  146,    0
   189,114683,20091014,  175,    0
   189,114683,20091015,  230,    0
   189,114683,20091016,  201,    0
   189,114683,20091017,  247,    0
   189,114683,20091018,   69,    0
   189,114683,20091019,  360,    0
   189,114683,20091020,  351,    0
   189,114683,20091021,  222,    0
   189,114683,20091022,   87,    0
   189,114683,20091023,  165,    0
   189,114683,20091024,  354,    0
   189,114683,20091025,  343,    0
   189,114683,20091026,  339,    0
   189,114683,20091027,  344,    0
   189,114683,20091028,  142,    0
   189,114683,20091029,  114,    0
   189,114683,20091030,  204,    0
   189,114683,20091031,  193,    0
   189,114683,20091101,  236,    0
   189,114683,20091102,  189,    0
   189,114683,20091103,  357,    0
   189,114683,20091104,  321,    0
   189,114683,20091105,   80,    0
   189,114683,20091106,   74,    0
   189,114683,20091107,  357,    0
   189,114683,20091108,  299,    0
   189,114683,20091109,  127,    0
   189,114683,20091110,  195,    0
   189,114683,20091111,  297,    0
   189,114683,20091112,  353,    0
   189,114683,20091113,  239,    0
   189,114683,20091114,  352,    0
   189,114683,20091115,  355,    0
   189,114683,20091116,  343,    0
   189,114683,20091117,  328,    0
   189,114683,20091118,  355,    0
   189,114683,20091119,   63,    0
   189,114683,20091120,   66,    0
   189,114683,20091121,  351,    0
   189,114683,20091122,   16,    0
   189,114683,20091123,  353,    0
   189,114683,20091124,  353,    0
   189,114683,20091125,  356,    0
   189,114683,20091126,  354,    0
   189,114683,20091127,  341,    0
   189,114683,20091128,  330,    0
   189,114683,20091129,  349,    0
   189,114683,20091130,  343,    0
   189,114683,20091201,  187,    0
   189,114683,20091202,  113,    0
   189,114683,20091203,   52,    0
   189,114683,20091204,  171,    0
   189,114683,20091205,  350,    0
   189,114683,20091206,  215,    0
   189,114683,20091207,   79,    0
   189,114683,20091208,   89,    0
   189,114683,20091209,  273,    0
   189,114683,20091210,  214,    0
   189,114683,20091211,   51,    0
   189,114683,20091212,  199,    0
   189,114683,20091213,-9999,    9
   189,114683,20091214,  239,    0
   189,114683,20091215,  311,    0
   189,114683,20091216,  230,    0
   189,114683,20091217,  344,    0
   189,114683,20091218,  293,    0
   189,114683,20091219,   28,    0
   189,114683,20091220,   19,    0
   189,114683,20091221,   13,    0
   189,114683,20091222,  357,    0
   189,114683,20091223,   22,    0
   189,114683,20091224,   26,    0
   189,114683,20091225,   13,    0
   189,114683,20091226,   44,    0
   189,114683,20091227,  339,    0
   189,114683,20091228,  350,    0
   189,114683,20091229,  360,    0
   189,114683,20091230,  349,    0
   189,114683,20091231,   41,    0
   189,114683,20100101,  257,    0
   189,114683,20100102,  348,    0
   189,114683,20100103,  350,    0
   189,114683,20100104,  360,    0
   189,114683,20100105,  260,    0
   189,114683,20100106,  237,    0
   189,114683,20100107,  341,    0
   189,114683,20100108,  276,    0
   189,114683,20100109,  219,    0
   189,114683,20100110,  302,    0
   189,114683,20100111,  250,    0
   189,114683,20100112,  206,    0
   189,114683,20100113,  194,    0
   189,114683,20100114,  152,    0
   189,114683,20100115,  135,    0
   189,114683,20100116,  183,    0
   189,114683,20100117,  137,    0
   189,114683,20100118,  202,    0
   189,114683,20100119,  193,    0
   189,114683,20100120,  200,    0
   189,114683,20100121,  133,    0
   189,114683,20100122,  116,    0
   189,114683,20100123,  207,    0
   189,114683,20100124,  194,    0
   189,114683,20100125,  165,    0
   189,114683,20100126,  271,    0
   189,114683,20100127,  354,    0
   189,114683,20100128,  345,    0
   189,114683,20100129,    0,    0
   189,114683,20100130,  360,    0
   189,114683,20100131,  360,    0
   189,114683,20100201,   17,    0
   189,114683,20100202,  360,    0
   189,114683,20100203,    1,    0
   189,114683,20100204,   52,    0
   189,114683,20100205,  149,    0
   189,114683,20100206,  302,    0
   189,114683,20100207,    6,    0
   189,114683,20100208,  249,    0
   189,114683,20100209,    3,    0
   189,114683,20100210,  325,    0
   189,114683,20100211,   21,    0
   189,114683,20100212,  344,    0
   189,114683,20100213,  344,    0
   189,114683,20100214,   70,    0
   189,114683,20100215,   12,    0
   189,114683,20100216,  343,    0
   189,114683,20100217,  354,    0
   189,114683,20100218,   32,    0
   189,114683,20100219,  357,    0
   189,114683,20100220,    9,    0
   189,114683,20100221,   20,    0
   189,114683,20100222,   59,    0
   189,114683,20100223,   20,    0
   189,114683,20100224,   36,    0
   189,114683,20100225,  287,    0
   189,114683,20100226,   58,    0
   189,114683,20100227,  358,    0
   189,114683,20100228,  360,    0
   189,114683,20100301,  280,    0
   189,114683,20100302,  328,    0
   189,114683,20100303,  256,    0
   189,114683,20100304,   53,    0
   189,114683,20100305,  237,    0
   189,114683,20100306,  209,    0
   189,114683,20100307,  344,    0
   189,114683,20100308,  259,    0
   189,114683,20100309,  108,    0
   189,114683,20100310,  358,    0
   189,114683,20100311,  347,    0
   189,114683,20100312,  345,    0
   189,114683,20100313,  338,    0
   189,114683,20100314,  338,    0
   189,114683,20100315,  351,    0
   189,114683,20100316,  358,    0
   189,114683,20100317,  335,    0
   189,114683,20100318,    2,    0
   189,114683,20100319,  336,    0
   189,114683,20100320,    2,    0
   189,114683,20100321,  344,    0
   189,114683,20100322,  343,    0
   189,114683,20100323,   48,    0
   189,114683,20100324,  352,    0
   189,114683,20100325,   90,    0
   189,114683,20100326,  358,    0
   189,114683,20100327,  356,    0
   189,114683,20100328,   14,    0
   189,114683,20100329,  357,    0
   189,114683,20100330,  354,    0
   189,114683,20100331,  337,    0
   189,114683,20100401,  332,    0
   189,114683,20100402,   25,    0
   189,114683,20100403,  357,    0
   189,114683,20100404,   74,    0
   189,114683,20100405,  206,    0
   189,114683,20100406,  134,    0
   189,114683,20100407,  138,    0
   189,114683,20100408,  238,    0
   189,114683,20100409,  208,    0
   189,114683,20100410,   98,    0
   189,114683,20100411,  246,    0
   189,114683,20100412,  220,    0
   189,114683,20100413,  232,    0
   189,114683,20100414,  283,    0
   189,114683,20100415,  327,    0
   189,114683,20100416,  336,    0
   189,114683,20100417,  339,    0
   189,114683,20100418,  346,    0
   189,114683,20100419,   27,    0
   189,114683,20100420,  354,    0
   189,114683,20100421,  334,    0
   189,114683,20100422,  311,    0
   189,114683,20100423,  341,    0
   189,114683,20100424,  355,    0
   189,114683,20100425,  257,    0
   189,114683,20100426,  312,    0
   189,114683,20100427,  272,    0
   189,114683,20100428,   16,    0
   189,114683,20100429,  359,    0
   189,114683,20100430,  341,    0
   189,114683,20100501,  357,    0
   189,114683,20100502,  345,    0
   189,114683,20100503,  356,    0
   189,114683,20100504,   99,    0
   189,114683,20100505,  183,    0
   189,114683,20100506,  196,    0
   189,114683,20100507,  269,    0
   189,114683,20100508,  356,    0
