EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : wind speed in 0.1 m/s
23-27 Q_FG : Quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, JAN MAYEN (STAID: 189).
Blended and updated with sources: 114682 901001 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
114682,19790101,   15,    1
114682,19790102,  110,    1
114682,19790103,  163,    1
114682,19790104,  164,    1
114682,19790105,   70,    1
114682,19790106,   41,    1
114682,19790107,   57,    1
114682,19790108,  166,    1
114682,19790109,  142,    1
114682,19790110,  190,    1
114682,19790111,  129,    1
114682,19790112,  139,    1
114682,19790113,   76,    1
114682,19790114,   21,    1
114682,19790115,   48,    1
114682,19790116,   69,    1
114682,19790117,   41,    1
114682,19790118,  122,    1
114682,19790119,   88,    1
114682,19790120,   21,    1
114682,19790121,   58,    1
114682,19790122,  149,    1
114682,19790123,   94,    1
114682,19790124,  139,    1
114682,19790125,  158,    1
114682,19790126,  154,    1
114682,19790127,  175,    1
114682,19790128,   72,    1
114682,19790129,  110,    1
114682,19790130,  137,    1
114682,19790131,   55,    1
114682,19790201,   34,    1
114682,19790202,   99,    1
114682,19790203,  113,    1
114682,19790204,  113,    1
114682,19790205,  132,    1
114682,19790206,  127,    1
114682,19790207,  115,    1
114682,19790208,  161,    1
114682,19790209,   99,    1
114682,19790210,   36,    1
114682,19790211,   92,    1
114682,19790212,    0,    0
114682,19790213,    5,    1
114682,19790214,   58,    1
114682,19790215,  118,    1
114682,19790216,   75,    1
114682,19790217,   94,    1
114682,19790218,   72,    1
114682,19790219,   38,    1
114682,19790220,   40,    1
114682,19790221,   50,    1
114682,19790222,  122,    1
114682,19790223,  134,    1
114682,19790224,   77,    1
114682,19790225,   14,    1
114682,19790226,  135,    1
114682,19790227,   55,    1
114682,19790228,   67,    1
114682,19790301,   31,    1
114682,19790302,   55,    1
114682,19790303,   99,    1
114682,19790304,   96,    1
114682,19790305,  151,    1
114682,19790306,   86,    1
114682,19790307,  104,    1
114682,19790308,   94,    1
114682,19790309,   63,    1
114682,19790310,   14,    1
114682,19790311,   33,    1
114682,19790312,   32,    1
114682,19790313,   28,    1
114682,19790314,   94,    1
114682,19790315,   56,    1
114682,19790316,    0,    0
114682,19790317,    0,    0
114682,19790318,   62,    1
114682,19790319,  142,    1
114682,19790320,  122,    1
114682,19790321,   53,    1
114682,19790322,   44,    1
114682,19790323,   79,    1
114682,19790324,   50,    1
114682,19790325,   86,    1
114682,19790326,  103,    1
114682,19790327,  115,    1
114682,19790328,  161,    1
114682,19790329,   68,    1
114682,19790330,   65,    1
114682,19790331,   60,    1
114682,19790401,   53,    1
114682,19790402,   24,    1
114682,19790403,   20,    1
114682,19790404,   24,    1
114682,19790405,   77,    1
114682,19790406,   75,    1
114682,19790407,   24,    1
114682,19790408,   41,    1
114682,19790409,   77,    1
