,building_id,site_id,site_id_kaggle,primaryspaceusage,sub_primaryspaceusage,sqm,sqft,lat,lng,timezone,electricity,hotwater,chilledwater,steam,water,irrigation,solar,gas,industry,subindustry,heatingtype,yearbuilt,date_opened,numberoffloors,occupants,energystarscore,eui,site_eui,source_eui,leed_level,rating
136,432,Trapano,143.0,Education,College Classroom,4703.0,50623.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Steam,,,5.0,,,,,,,G
137,416,Trapano,143.0,Education,College Classroom,499.3,5374.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,Yes,,,,,,,Education,College/University,Heat network,,,4.0,,,,,,,
138,436,Trapano,143.0,Education,College Classroom,9061.0,97532.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Heat network,2005.0,,10.0,,,,,,,F
139,441,Trapano,143.0,Education,College Laboratory,7579.0,81580.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Heat network,1913.0,,5.0,,,,,,,
140,442,Trapano,143.0,Education,College Laboratory,5295.0,56995.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,Yes,,,,,,,Education,College/University,Heat network,1953.0,,6.0,,,,,,,G
141,411,Trapano,143.0,Education,College Laboratory,2584.0,27814.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,Yes,,,,,,,Education,College/University,Heat network,2006.0,,8.0,,,,,,,G
142,426,Trapano,143.0,Education,College Laboratory,10994.0,118338.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Heat network,1909.0,,7.0,,,,,,,F
143,430,Trapano,143.0,Education,College Laboratory,2992.0,32206.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,Yes,,,,,,,Education,College/University,Heat network,,,6.0,,,,,,,E
144,439,Trapano,143.0,Education,College Laboratory,9335.0,100481.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,Yes,,,,,,,Education,College/University,Heat network,1958.0,,9.0,,,,,,,F
145,437,Trapano,143.0,Education,College Laboratory,12977.0,139683.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,Yes,,,,,,,Education,College/University,Heat network,1958.0,,13.0,,,,,,,E
146,444,Trapano,143.0,Education,College Laboratory,12051.0,129716.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Heat network,1968.0,,6.0,,,,,,,F
147,428,Trapano,143.0,Education,College Laboratory,3462.0,37265.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Oil,,,5.0,,,,,,,
148,413,Trapano,143.0,Education,College Laboratory,1439.0,15489.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,Yes,,,,,,,Education,College/University,Heat network,2004.0,,4.0,,,,,,,E
149,429,Trapano,143.0,Education,College Laboratory,12850.0,138316.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1960.0,,8.0,,,,,,,
150,440,Trapano,143.0,Education,College Laboratory,8468.0,91149.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,Yes,,,,,,,Education,College/University,Heat network,2007.0,,7.0,,,,,,,E
151,449,Trapano,143.0,Education,College Laboratory,6337.0,68211.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Heat network,1976.0,,7.0,,,,,,,G
152,418,Trapano,143.0,Education,College Laboratory,13965.0,150318.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,Yes,,,,,,,Education,College/University,Heat network and steam,1906.0,,9.0,,,,,,,B
153,448,Trapano,143.0,Education,College Laboratory,7714.9,83043.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1991.0,,6.0,,,,,,,F
154,434,Trapano,143.0,Education,College Laboratory,5686.0,61204.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1989.0,,6.0,,,,,,,E
155,412,Trapano,143.0,Education,College Laboratory,3560.0,38319.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1900.0,,6.0,,,,,,,D
156,447,Trapano,143.0,Education,College Laboratory,1561.0,16802.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1995.0,,6.0,,,,,,,
157,438,Trapano,143.0,Education,College Laboratory,2001.0,21539.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,2004.0,,5.0,,,,,,,G
158,456,Trapano,143.0,Lodging/residential,Dormitory,2515.0,27071.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,,,6.0,,,,,,,D
159,473,Trapano,143.0,Lodging/residential,Dormitory,9548.0,102774.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1956.0,,7.0,,,,,,,E
160,460,Trapano,143.0,Lodging/residential,Dormitory,9565.0,102957.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1968.0,,7.0,,,,,,,G
161,457,Trapano,143.0,Lodging/residential,Dormitory,5842.9,62893.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1960.0,,16.0,,,,,,,F
162,463,Trapano,143.0,Lodging/residential,Dormitory,6193.0,66661.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Electric,1930.0,,7.0,,,,,,,E
163,455,Trapano,143.0,Lodging/residential,Dormitory,7721.0,83108.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1995.0,,8.0,,,,,,,D
164,464,Trapano,143.0,Lodging/residential,Dormitory,6013.0,64723.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1960.0,,8.0,,,,,,,C
165,471,Trapano,143.0,Lodging/residential,Dormitory,4607.0,49589.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Electric,1998.0,,8.0,,,,,,,E
166,470,Trapano,143.0,Lodging/residential,Dormitory,6181.0,66532.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1967.0,,10.0,,,,,,,D
167,452,Trapano,143.0,Lodging/residential,Dormitory,5246.0,56467.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1960.0,,9.0,,,,,,,D
168,409,Trapano,143.0,Entertainment/public assembly,Gymnasium,5948.0,64024.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Heat network,1967.0,,6.0,,,,,,,G
